"TIME","LATITUDE","LONGITUDE","TYPE","NR-TAC","NR-PCI","NR-CI","NR-ARFCN","CSI-RSRP","CSI-RSRQ","CSI-SINR","SS-RSRP","SS-RSRQ","SS-SINR","TAC","PCI","ECI","EARFCN","BAND_WIDTH","RSSI","RSRP","RSRQ","SINR","CQI","LAC","CI","RXLEV","ARFCN","BSIC","PSC","UARFCN","NID","BID","SID","CDMADBM","CDMAECIO","EVDODBM","EVDOECIO","EVDOSNR"
"20210917 10:34:05.412","22.588589","113.97265","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:05.770","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:05.800","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:05.826","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:05.852","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:06.380","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:07.472","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:07.510","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:08.446","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:08.558","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:09.440","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:09.675","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:10.787","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:11.408","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:11.468","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:11.480","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:11.481","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:11.912","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
"20210917 10:34:13.027","22.588589","113.97265","LTE","","","","","","","","","","","9771","284","224778576","38950","","-71","-98","-6","6.0","","","","","","","","","","","","","","","",""
